12:01:51 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:01:52 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:08:57 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:28:22 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:31:36 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:32:00 | INFO    | interviewdna | Logging configured (level=INFO, file=logs/interviewdna.log)
12:32:00 | INFO    | interviewdna.api | --> GET /health
12:32:00 | INFO    | interviewdna.api | <-- GET /health 200 (13ms)
12:32:15 | INFO    | interviewdna.api | --> GET /health
12:32:15 | INFO    | interviewdna.api | <-- GET /health 200 (2ms)
12:32:49 | INFO    | interviewdna.api | --> GET /health
12:32:49 | INFO    | interviewdna.api | <-- GET /health 200 (3ms)
12:33:03 | INFO    | interviewdna.api | --> GET /health
12:33:03 | INFO    | interviewdna.api | <-- GET /health 200 (2ms)
12:33:04 | INFO    | interviewdna.api | --> GET /health
12:33:04 | INFO    | interviewdna.api | <-- GET /health 200 (1ms)
12:33:04 | INFO    | interviewdna.api | --> POST /resume/analyze
12:33:04 | INFO    | interviewdna.services.resume | Parsing resume file: /var/folders/9l/fmfl13417mn7333jvdybfk1m0000gn/T/tmpkm5umipe.docx
12:33:04 | INFO    | interviewdna.services.resume | Parsed resume: 2802 chars in 0.15s
12:33:04 | INFO    | interviewdna.llm.factory | Initializing LLM provider: ollama
12:33:04 | INFO    | interviewdna.llm.ollama | OllamaLLMService initialized (base_url=http://localhost:11434, model=qwen2.5:7b, timeout=120s)
12:33:04 | INFO    | interviewdna.services.resume | LLM CALL #1: Resume DNA extraction starting (2802 chars input)
12:33:04 | INFO    | interviewdna.llm.ollama | invoke_structured() -> qwen2.5:7b | schema=ResumeDNA | 2 message(s) | max_retries=2
12:33:32 | INFO    | interviewdna.llm.ollama | invoke_structured() -> ResumeDNA done in 28.2s total (attempt 1/3, 28.2s)
12:33:32 | INFO    | interviewdna.services.resume | LLM CALL #1: done in 28.2s -- 18 skills, 1 projects, 2 achievements
12:33:32 | INFO    | interviewdna.services.resume | Indexing resume into Pinecone (session=9858c2ad-7a40-40cd-a310-3dccd75144a4)
12:33:35 | INFO    | interviewdna.rag.pinecone | Embedding 2 chunk(s) for upsert (document_type=resume)
12:33:40 | INFO    | interviewdna.rag.embeddings | Loading embedding model 'all-MiniLM-L6-v2' (first call only -- may download weights the very first time, ~90MB for MiniLM)
12:33:41 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
12:33:43 | INFO    | interviewdna.rag.embeddings | Embedding model loaded in 2.4s
12:33:43 | INFO    | interviewdna.rag.pinecone | Embedding done in 7.65s
12:33:43 | INFO    | pinecone.client.indexes | Listing indexes
12:33:43 | INFO    | pinecone.client.indexes | Describing index 'interviewdna'
12:33:43 | INFO    | pinecone.index | Index client created for host https://interviewdna-eb3b67x.svc.aped-4627-b74a.pinecone.io
12:33:43 | INFO    | pinecone.index | Upserting 2 vectors into namespace ''
12:33:44 | INFO    | interviewdna.rag.pinecone | Upserted 2 vector(s) to Pinecone index 'interviewdna'
12:33:44 | INFO    | interviewdna.services.resume | Indexed 2 resume chunk(s) in 12.0s
12:33:44 | INFO    | interviewdna.api | <-- POST /resume/analyze 200 (40399ms)
12:33:44 | WARNING | interviewdna.api | POST /resume/analyze took 40.4s -- likely an LLM call (Ollama cold start, long prompt, or structured-output retry loop)
12:33:44 | INFO    | interviewdna.api | --> POST /job/analyze
12:33:44 | INFO    | interviewdna.services.job | LLM CALL #2: Job DNA extraction starting (2124 chars input)
12:33:44 | INFO    | interviewdna.llm.ollama | invoke_structured() -> qwen2.5:7b | schema=JobDNA | 2 message(s) | max_retries=2
12:33:58 | INFO    | interviewdna.llm.ollama | invoke_structured() -> JobDNA done in 13.8s total (attempt 1/3, 13.8s)
12:33:58 | INFO    | interviewdna.services.job | LLM CALL #2: done in 13.8s -- 8 required skills, 0 responsibilities
12:33:58 | INFO    | interviewdna.services.job | Indexing job description into Pinecone (session=9858c2ad-7a40-40cd-a310-3dccd75144a4)
12:33:58 | INFO    | interviewdna.rag.pinecone | Embedding 1 chunk(s) for upsert (document_type=job_description)
12:33:58 | INFO    | interviewdna.rag.pinecone | Embedding done in 0.21s
12:33:58 | INFO    | pinecone.index | Upserting 1 vectors into namespace ''
12:33:58 | INFO    | interviewdna.rag.pinecone | Upserted 1 vector(s) to Pinecone index 'interviewdna'
12:33:58 | INFO    | interviewdna.services.job | Indexed 1 JD chunk(s) in 0.6s
12:33:58 | INFO    | interviewdna.api | <-- POST /job/analyze 200 (14430ms)
12:33:58 | WARNING | interviewdna.api | POST /job/analyze took 14.4s -- likely an LLM call (Ollama cold start, long prompt, or structured-output retry loop)
12:33:59 | INFO    | interviewdna.api | --> POST /match
12:33:59 | INFO    | interviewdna.services.job | LLM CALL #3: Alignment reasoning starting
12:33:59 | INFO    | interviewdna.llm.ollama | invoke_structured() -> qwen2.5:7b | schema=AlignmentResult | 2 message(s) | max_retries=2
12:34:46 | INFO    | interviewdna.llm.ollama | invoke_structured() -> AlignmentResult done in 47.0s total (attempt 1/3, 47.0s)
12:34:46 | INFO    | interviewdna.services.job | LLM CALL #3: done in 47.0s -- 12 requirement(s) classified
12:34:47 | INFO    | interviewdna.agents.strategy | LLM CALL #4: Strategy generation starting (mode=MIXED)
12:34:47 | INFO    | interviewdna.llm.ollama | invoke_structured() -> qwen2.5:7b | schema=InterviewStrategy | 2 message(s) | max_retries=2
12:35:37 | INFO    | interviewdna.llm.ollama | invoke_structured() -> InterviewStrategy done in 49.8s total (attempt 1/3, 49.8s)
12:35:37 | INFO    | interviewdna.agents.strategy | LLM CALL #4: done in 49.8s -- 12 priority competencies, 60%/40% technical/behavioral
12:35:37 | INFO    | interviewdna.api | <-- POST /match 200 (98238ms)
12:35:37 | WARNING | interviewdna.api | POST /match took 98.2s -- likely an LLM call (Ollama cold start, long prompt, or structured-output retry loop)
12:36:27 | INFO    | interviewdna.api | --> GET /health
12:36:27 | INFO    | interviewdna.api | <-- GET /health 200 (4ms)
12:36:27 | INFO    | interviewdna.api | --> POST /interview/start
12:36:27 | INFO    | interviewdna.agent | [session=9858c2ad-7a40-40cd-a310-3dccd75144a4] Coverage Agent selected competency | Experience with a modern ELT stack (e.g. Airflow, dbt) (TECHNICAL)
12:36:27 | INFO    | pinecone.index | Querying index with top_k=3
12:36:28 | INFO    | interviewdna.rag.pinecone | Pinecone query done in 0.51s -- 2 match(es) for 'Experience with a modern ELT stack (e.g. Airflow, dbt)' (filter={'user_id': {'$eq': 'candidate'}, 'session_id': {'$eq': '9858c2ad-7a40-40cd-a310-3dccd75144a4'}, 'document_type': {'$eq': 'resume'}})
12:36:28 | INFO    | pinecone.index | Querying index with top_k=3
12:36:28 | INFO    | interviewdna.rag.pinecone | Pinecone query done in 0.10s -- 0 match(es) for 'Experience with a modern ELT stack (e.g. Airflow, dbt)' (filter={'document_type': {'$eq': 'reference'}})
12:36:28 | INFO    | interviewdna.agent | [session=9858c2ad-7a40-40cd-a310-3dccd75144a4] Retrieved context | 0 reference chunk(s), resume evidence: found
12:36:28 | INFO    | interviewdna.llm.ollama | invoke_structured() -> qwen2.5:7b | schema=GeneratedQuestion | 2 message(s) | max_retries=2
12:36:33 | INFO    | interviewdna.llm.ollama | invoke_structured() -> GeneratedQuestion done in 5.0s total (attempt 1/3, 5.0s)
12:36:33 | INFO    | interviewdna.agent | [session=9858c2ad-7a40-40cd-a310-3dccd75144a4] LLM CALL #5: Question generated | [Experience with a modern ELT stack (e.g. Airflow, dbt)] Can you walk me through a project where you used Airflow or dbt to manage ETL processes? Please describe the problem you were trying to solve, the tools you used, and any challenges you faced and how you overcame them.
